"Distance [mm]"	"Bt []"
166.815684	0.0195353053373505
167.030376	0.025996954656847
167.245068	0.0304759597171686
167.45976	0.0322882983975844
167.674452	0.0335897575756024
167.889144	0.0318151617293805
168.103836	0.0312102153206779
168.318528	0.0296407121707588
168.53322	0.0262217469709069
168.747912	0.0229224308378471
168.962604	0.0196357039688804
169.177296	0.0146334759175869
169.391988	0.012923050004999
169.60668	0.0144802920267245
169.821372	0.0183265755030534
170.036064	0.0319036103119863
170.250756	0.0484090087531231
170.465448	0.0884007773425318
170.68014	0.212490698645239
170.894832	0.185060629937483
171.109524	0.156318740632963
171.324216	0.135124761660667
171.538908	0.0599285080087629
171.7536	-0.0154971400335385
171.968292	-0.091139270011773
172.182984	-0.0741393385409146
172.397676	-0.101771713909299
172.612368	-0.127376825365167
172.82706	-0.150949535939755
173.041752	-0.134749833431291
173.256444	-0.106018641988473
173.471136	-0.0695093739471879
173.685828	-0.063545098080335
173.90052	-0.057767838895562
174.115212	-0.0633045655688332
174.329904	-0.0663329369651183
174.544596	-0.0854327052548029
174.759288	-0.102095229444905
174.97398	-0.124691741384947
175.188672	-0.147759366837256
175.403364	-0.180799110123189
175.618056	-0.254682934736439
175.832748	-0.329719334435592
176.04744	-0.341388328502849
176.262132	-0.314959945622852
176.476824	-0.295402529973061
176.691516	-0.315459342062116
176.906208	-0.316087540471055
177.1209	-0.263030896658706
177.335592	-0.179411807220936
177.550284	-0.138611015014066
177.764976	-0.118759621485911
177.979668	-0.100374590310783
178.19436	-0.0811048523823558
178.409052	-0.063412810317604
178.623744	-0.0523111190877019
178.838436	-0.0416870633120146
179.053128	-0.0333738644226665
179.26782	-0.0257812347665093
179.482512	-0.0279008200445526
179.697204	-0.0249453114576923
179.911896	-0.0205564828858301
180.126588	-0.0179578484034563
180.34128	-0.0171088428359463
180.555972	-0.0193390573432459
180.770664	-0.0216743724520718
180.985356	-0.0241157412531313
181.200048	-0.0292525539160647
181.41474	-0.0344264213121323
181.629432	-0.0402602975539545
181.844124	-0.0411882299738764
182.058816	-0.0395270122879653
