"Distance [mm]"	"Distance/($D/2-$g/2)*180/pi []"	"Br []"
62.26068	104.372860058308	0.915322921695373
62.475372	104.732766472303	0.917999517964603
62.690064	105.092672886297	0.915558585146718
62.904756	105.452579300291	0.911980177829858
63.119448	105.812485714285	0.908443250997419
63.33414	106.172392128279	0.904948108757901
63.548832	106.532298542273	0.905720117954177
63.763524	106.892204956268	0.898650707828417
63.978216	107.252111370262	0.896271143505992
64.192908	107.612017784256	0.896560646632603
64.4076	107.97192419825	0.892350356180167
64.622292	108.331830612244	0.888574815227683
64.836984	108.691737026238	0.884890807183916
65.051676	109.051643440233	0.881299013310856
65.266368	109.411549854227	0.87599114807677
65.48106	109.771456268221	0.865611637856171
65.695752	110.131362682215	0.85775766514966
65.910444	110.491269096209	0.850392173109676
66.125136	110.851175510203	0.838710348877406
66.339828	111.211081924198	0.823976194943196
66.55452	111.570988338192	0.809407411311743
66.769212	111.930894752186	0.795006706097165
66.983904	112.29080116618	0.780776769024351
67.198596	112.650707580174	0.741818091821362
67.413288	113.010613994168	0.707465209220861
67.62798	113.370520408163	0.66412364667007
67.842672	113.730426822157	0.620879455234503
68.057364	114.090333236151	0.533272912479066
68.272056	114.450239650145	0.501617671940732
68.486748	114.810146064139	0.318033161700137
68.70144	115.170052478133	0.197082783964152
68.916132	115.529958892128	0.0278502339877327
69.130824	115.889865306122	-0.0842337267426816
69.345516	116.249771720116	-0.224630583715175
69.560208	116.60967813411	-0.365854612500571
69.7749	116.969584548104	-0.547415477711959
69.989592	117.329490962098	-0.563951161488522
70.204284	117.689397376093	-0.638234612593916
70.418976	118.049303790087	-0.790870302181619
70.633668	118.409210204081	-0.675957441906513
70.84836	118.769116618075	-0.658365280930465
71.063052	119.129023032069	-0.6372021601656
71.277744	119.488929446063	-0.616173077503576
71.492436	119.848835860058	-0.617786603824454
71.707128	120.208742274052	-0.624564791915255
71.92182	120.568648688046	-0.646349679497777
72.136512	120.92855510204	-0.690859495633988
72.351204	121.288461516034	-0.7367609835423
72.565896	121.648367930028	-0.830641893536751
72.780588	122.008274344023	-0.869564598254698
72.99528	122.368180758017	-0.901626704042178
73.209972	122.728087172011	-0.910238013551265
73.424664	123.087993586005	-0.906083474655748
73.639356	123.447899999999	-0.90562154503079
73.854048	123.807806413993	-0.90101203535755
74.06874	124.167712827988	-0.889237724303759
74.283432	124.527619241982	-0.888953628453072
74.498124	124.887525655976	-0.891269820745139
74.712816	125.24743206997	-0.892341394582792
74.927508	125.607338483964	-0.894903446261964
75.1422	125.967244897958	-0.900631864036825
75.356892	126.327151311953	-0.897924636632973
75.571584	126.687057725947	-0.900558022668843
75.786276	127.046964139941	-0.904162152283019
76.000968	127.406870553935	-0.904903420511614
76.21566	127.766776967929	-0.911489496766107
76.430352	128.126683381923	-0.920447716672654
76.645044	128.486589795918	-0.917663330358703
76.859736	128.846496209912	-0.914909109427078
77.074428	129.206402623906	-0.91218512207969
77.28912	129.5663090379	-0.909491434388046
77.503812	129.926215451894	-0.909676068068632
77.718504	130.286121865888	-0.905290360292639
77.933196	130.646028279883	-0.906259248614985
78.147888	131.005934693877	-0.910259595622044
78.36258	131.365841107871	-0.906716991656525
78.577272	131.725747521865	-0.904160071415608
78.791964	132.085653935859	-0.90168508920273
79.006656	132.445560349853	-0.899292363290742
79.221348	132.805466763848	-0.897421856339556
79.43604	133.165373177842	-0.891712417402627
79.650732	133.525279591836	-0.88768009516253
79.865424	133.88518600583	-0.889847366778966
80.080116	134.245092419824	-0.887684291253837
80.294808	134.604998833818	-0.880752219923155
80.5095	134.964905247813	-0.873923311574631
80.724192	135.324811661807	-0.867198453459857
80.938884	135.684718075801	-0.861058195777959
81.153576	136.044624489795	-0.85153998913661
81.368268	136.404530903789	-0.833321462764693
81.58296	136.764437317783	-0.828056156414693
81.797652	137.124343731778	-0.823012213767727
82.012344	137.484250145772	-0.799184584646399
82.227036	137.844156559766	-0.786193211711899
82.441728	138.20406297376	-0.751821117517118
82.65642	138.563969387754	-0.726865790915932
82.871112	138.923875801748	-0.681424084018884
83.085804	139.283782215743	-0.627527036206554
83.300496	139.643688629737	-0.567208300581497
83.515188	140.003595043731	-0.471735118134999
83.72988	140.363501457725	-0.366757551968911
83.944572	140.723407871719	-0.264661573592481
84.159264	141.083314285713	-0.0488871979832271
84.373956	141.443220699708	-0.0117952461736211
84.588648	141.803127113702	0.159395116710394
84.80334	142.163033527696	0.340896586182686
85.018032	142.52293994169	0.400906758726289
85.232724	142.882846355684	0.433201147675938
85.447416	143.242752769678	0.471118243399677
85.662108	143.602659183673	0.501326733989484
85.8768	143.962565597667	0.532916473145074
86.091492	144.322472011661	0.565883375988809
86.306184	144.682378425655	0.594499156657866
86.520876	145.042284839649	0.662418634441362
86.735568	145.402191253643	0.730827968363647
86.95026	145.762097667638	0.799699150697031
87.164952	146.122004081632	0.869004118853113
87.379644	146.481910495626	0.865036817660135
