"Distance [mm]"	"Flux_Lines []"
84.373956	-0.00583010069357439
84.588648	-0.0058169502931129
84.80334	-0.00576322266686643
85.018032	-0.00568084636668927
85.232724	-0.00559133518219857
85.447416	-0.00549396701313147
85.662108	-0.00538960601714697
85.8768	-0.00527861082038976
86.091492	-0.00516068527285495
86.306184	-0.0050355567465114
86.520876	-0.00490064425247372
86.735568	-0.00475109668549204
86.95026	-0.00458681103541687
87.164952	-0.0044076920786425
87.379644	-0.00422229279909921
87.594336	-0.00403574124263383
87.809028	-0.00384754259137238
88.02372	-0.00365774167575066
88.238412	-0.00346739365773467
88.453104	-0.00327761142564544
88.667796	-0.00308772940552254
88.882488	-0.00289797120357092
89.09718	-0.0027087316518628
89.311872	-0.00251809825981823
89.526564	-0.00232612304482552
89.741256	-0.00213390861432048
89.955948	-0.00194035716687746
90.17064	-0.00174666919525031
90.385332	-0.00155286387430587
90.600024	-0.00135838867041707
90.814716	-0.00116472191310795
91.029408	-0.000970614942353524
91.2441	-0.000775246701693052
91.458792	-0.000580651987798505
91.673484	-0.000385106950431886
91.888176	-0.000189361309170831
92.102868	4.98836672560595E-06
92.31756	0.000199684437625117
92.532252	0.000393750225984229
92.746944	0.000587183539791078
92.961636	0.000781656398187269
93.176328	0.00097607683216956
93.39102	0.00117033221419772
93.605712	0.00136501967739802
93.820404	0.0015584834532738
94.035096	0.00175123264183777
94.249788	0.00194381924325993
94.46448	0.00213520772011688
94.679172	0.00232684070746879
94.893864	0.00251884866633015
95.108556	0.00270967836210635
95.323248	0.00290069659259109
95.53794	0.00309048771787155
95.752632	0.00327823612365317
95.967324	0.00346556421036714
96.182016	0.00365070376146889
96.396708	0.00383415430639128
96.6114	0.00401711560693231
96.826092	0.00419701153449056
97.040784	0.00437531993006791
97.255476	0.00455075765450678
97.470168	0.00472140062209107
97.68486	0.00488694589361103
97.899552	0.00504742945688526
98.114244	0.00520092642331567
98.328936	0.0053463975168299
98.543628	0.00547827094991769
98.75832	0.00559995821383027
98.973012	0.00570454566820243
99.187704	0.00578564907999919
99.402396	0.00583208799839968
99.617088	0.00585324273978453
99.83178	0.00585340696876867
100.046472	0.00583288624584272
100.261164	0.00578466787283774
100.475856	0.00570989369056075
100.690548	0.00562307303257272
100.90524	0.00551397873587926
101.119932	0.00539070719351499
101.334624	0.00524431436178603
101.549316	0.00508911524763878
101.764008	0.00492590220589761
101.9787	0.00475488942331079
102.193392	0.0045784244417185
102.408084	0.00440081417130311
102.622776	0.00422089043324292
102.837468	0.00403971344309654
103.05216	0.00385722350245762
103.266852	0.0036725145511826
103.481544	0.00348603181773777
103.696236	0.00329858442660475
103.910928	0.00311010725220016
104.12562	0.00292057888387479
104.340312	0.00272995018579788
104.555004	0.00253898166492285
104.769696	0.00234818114369082
104.984388	0.00215649030870044
105.19908	0.001963724544139
105.413772	0.00177073078912925
105.628464	0.00157755939704175
105.843156	0.00138419302327259
106.057848	0.00119061437773514
106.27254	0.000996752402675739
106.487232	0.000803608162748215
106.701924	0.000610388435421319
106.916616	0.000416343365222815
107.131308	0.000222076051630366
107.346	2.7954946024374E-05
107.560692	-0.000166106392283219
107.775384	-0.000360125323124172
107.990076	-0.000554225919143666
108.204768	-0.000747669289450646
108.41946	-0.000940328438548179
108.634152	-0.00113358183538066
108.848844	-0.00132741003544806
109.063536	-0.00152086753211262
109.278228	-0.00171404173481848
109.49292	-0.00190695028696841
109.707612	-0.00209963823819094
109.922304	-0.00229182600646941
110.136996	-0.00248300915756889
110.351688	-0.0026734325592378
110.56638	-0.00286416937870405
110.781072	-0.00305401870084917
110.995764	-0.00324288654414694
111.210456	-0.0034307934065571
111.425148	-0.00361776005088692
111.63984	-0.00380343772379207
111.854532	-0.00398744628311738
112.069224	-0.00416910908368286
112.283916	-0.00434922845362545
112.498608	-0.00452707449509396
112.7133	-0.00470345758536006
112.927992	-0.00487704486342246
113.142684	-0.00504222174253852
113.357376	-0.00519922376173009
113.572068	-0.00534904062834694
113.78676	-0.00547891505320787
114.001452	-0.00559208168080675
114.216144	-0.00568594619146608
114.430836	-0.00576273438368982
114.645528	-0.00582165920504321
114.86022	-0.00584802895485375
115.074912	-0.00585380292975809
115.289604	-0.00583873404415614
115.504296	-0.00580263806510661
115.718988	-0.00572727058391294
115.93368	-0.00563070840256635
116.148372	-0.00551141915801265
116.363064	-0.00538228346290019
116.577756	-0.005238797254529
116.792448	-0.00508815543106866
117.00714	-0.00493021018161172
117.221832	-0.00476533861051986
117.436524	-0.00459547937268642
117.651216	-0.00442199370786252
117.865908	-0.00424441225895082
118.0806	-0.00406477906495032
118.295292	-0.00388340794835536
118.509984	-0.00369961646269867
118.724676	-0.00351367999884299
118.939368	-0.00332676873593944
119.15406	-0.00313947534841124
119.368752	-0.00295089511844834
119.583444	-0.00276039529902725
119.798136	-0.0025693176551599
120.012828	-0.00237839095429399
120.22752	-0.00218582447733852
120.442212	-0.00199416640170925
120.656904	-0.00180218476710815
120.871596	-0.00160889097074785
121.086288	-0.00141481681482021
121.30098	-0.00122134286344686
121.515672	-0.00102772619117826
121.730364	-0.00083381664411608
121.945056	-0.000639686249438109
122.159748	-0.000445322570582715
122.37444	-0.000250999432965854
122.589132	-5.59575625227108E-05
122.803824	0.000138889837657812
123.018516	0.000333676910255377
123.233208	0.000529599585197215
123.4479	0.000724798082899698
123.662592	0.000919637375591325
123.877284	0.00111483251780622
124.091976	0.00130896941792075
124.306668	0.00150308424948931
